OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,month
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.00100823,2001-05-08,9:45:00,CDT,USGS-473633101161400,NWIS-3815878,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,Spike recovery <5%,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see result comment,,,,,,,NWIS,5
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.00101071,2001-07-23,11:20:00,CDT,USGS-473633101161400,NWIS-3855454,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,Previous spike recoveries were poor.,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see result comment,,,,,,,NWIS,7
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.00101783,2001-08-22,10:55:00,CDT,USGS-473633101161400,NWIS-3877337,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see result comment,,,,,,,NWIS,8
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.00101550,2001-09-27,11:05:00,CDT,USGS-473633101161400,NWIS-3847666,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,Spike recovery <30%.,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see result comment,,,,,,,NWIS,9
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01602269,2016-03-08,16:50:00,AWST,USGS-364446108321510,NWIS-53244962,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200154,2002-05-21,10:45:00,EDT,USGS-04206000,NWIS-45004208,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200172,2002-06-17,12:00:00,EDT,USGS-04206000,NWIS-44843825,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,6
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200194,2002-07-15,11:15:00,EDT,USGS-04206000,NWIS-44852547,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200157,2002-05-22,12:00:00,EDT,USGS-04206200,NWIS-45007753,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200157,2002-05-22,12:00:00,EDT,USGS-04206200,NWIS-45007754,,,,Cryptosporidium,,15,%,,Preliminary,,Actual,,,,,,,,,,,99600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
