OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MN,USGS Minnesota Water Science Center,USGS-05331775,"ST. CROIX RIVER NEAR WOODLAND CORNER, WI",Stream,,07030001,433,sq mi,,,46.1166092,-92.1315786,62500,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,013,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05333400,"NAMEKAGON RIVER NEAR WOODLAND CORNER, WI",Stream,,07030002,1030,sq mi,,,46.0838317,-92.113244,62500,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,013,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05338650,"ST. CROIX RIVER AT HWY. 70 NEAR GRANTSBURG, WI",Stream,,07030005,,,,,45.7732879,-92.7807621,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05339015,"ST. CROIX RIVER BELOW WOOD RIVER NR. GRANTSBURG,WI",Stream,,07030005,,,,,45.7566216,-92.7938185,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,013,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05340420,"ST. CROIX R. AT NEVERS DAM SITE, NR. WOLF CK., WI",Stream,,07030005,,,,,45.5369038,-92.724378,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05341510,"ST. CROIX RIVER BELOW APPLE R. NR. STILLWATER, MN",Stream,,07030005,,,,,45.1233002,-92.7454838,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,109,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-443502092212301,PDCT-U7   024N16W09AA    01,Well,,07040001,,,,,44.5835667,-92.3225194,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,721.30,feet,.04,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,093,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19951025,66,ft,66,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-443703092261301,PDCT-U6   025N17W28DDD   01,Well,,07040001,,,,,44.6177806,-92.4400972,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,773.32,feet,.04,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,093,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19810217,140,ft,140,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-445010092422201,PDCT-U1   027N19W08D     01,Well,,07030005,,,,,44.8359222,-92.7020361,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,920,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,093,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19860725,230,ft,230,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-445933092222301,PDCT-U5   029N16W18CC    01,Well,,07040001,,,,,44.9925722,-92.3739389,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1160,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,109,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19900522,104,ft,104,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-450635092302201,PDCT-U2   030N18W01CD    01 FK 344,Well,,07030005,,,,,45.1097139,-92.5064722,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1009.34,feet,.03,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,109,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19930706,77,ft,77,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-451027092142901,PDCT-U8   031N15W17DA    01,Well,,07030005,,,,,45.1738333,-92.2413444,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1160,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,109,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19880926,180,ft,180,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-451242092433201,PDCT-U3   032N19W33CC    01 DD945,Well,,07030005,,,,,45.2121917,-92.72665,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1000,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,095,Cambrian-Ordovician aquifer system,Trempealeau Formation,Unconfined single aquifer,19900906,278,ft,278,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-452102092212201,PDCT-U4   033N16W16BA    01 HQ 47,Well,,07030005,,,,,45.349675,-92.3588333,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1091.41,feet,.02,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,095,Cambrian-Ordovician aquifer system,Trempealeau Formation,Unconfined single aquifer,19950821,120,ft,120,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-452709092141101,PDCT-U9   034N15W09BB    01,Well,,07030005,,,,,45.4526111,-92.2363389,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1190,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,095,Cambrian-Ordovician aquifer system,Trempealeau Formation,Unconfined single aquifer,19941102,94,ft,94,ft,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01438500,Delaware River at Montague NJ,Stream,,02040104,3480,sq mi,,,41.3091667,-74.7952778,24000,1,seconds,Interpolated from MAP.,NAD83,369.93,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,103,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01443000,DELAWARE RIVER AT PORTLAND PA,Stream,,02040105,4165,sq mi,4165,sq mi,40.9239854,-75.0957319,24000,1,seconds,Interpolated from MAP.,NAD83,199.53,feet,10,feet,Interpolated from topographic map.,NAVD88,US,42,095,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01460820,Delaware River at Lumberville PA,Stream,,02040105,6598,sq mi,,,40.407605,-75.0373921,24000,1,seconds,Interpolated from MAP.,NAD83,0.15,feet,.1,feet,Level or other surveyed method.,NGVD29,US,42,017,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-391452082282900,V-1,Well,,05090101,,,,,39.2478485,-82.4746008,24000,1,seconds,Interpolated from MAP.,NAD83,736,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,163,Mississippian aquifers,Cuyahoga Formation,Confined single aquifer,,220,ft,220,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-392119084142000,W-6,Well,,05090202,,,,,39.3553369,-84.2388259,24000,1,seconds,Interpolated from MAP.,NAD83,614,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,165,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,19980930,48,ft,48,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-393450082403600,F-7 OH,Well,,05030204,,,,,39.5806196,-82.6765553,24000,1,seconds,Interpolated from MAP.,NAD83,991,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,045,Mississippian aquifers,Mississippian System,Confined single aquifer,198802,120,ft,120,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-400118081082200,B-3 OH,Well,,05040001,,,,,40.021737,-81.1392715,24000,1,seconds,Interpolated from MAP.,NAD83,1263,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,013,Pennsylvanian aquifers,Monongahela Formation,Confined single aquifer,,119,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-400514084345700,D-2 OH,Well,,05080001,,,,,40.0872714,-84.5824542,24000,1,seconds,Interpolated from MAP.,NAD83,1032,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,037,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,70,ft,70,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-402010083321900,U-5 OH,Well,,05060001,,,,,40.3361678,-83.5385381,24000,5,seconds,Interpolated from MAP.,NAD83,1088,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,159,Silurian-Devonian aquifers,Salina Formation,Confined single aquifer,19890805,145,ft,145,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-405211081254200,ST-27A,Well,,05040001,,,,,40.8696389,-81.42825,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1067,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,151,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,20051011,93,ft,100,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-405215084335400,VW-1 OH,Well,,04100007,,,,,40.8708639,-84.5650028,24000,Unknown,Unknown,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,783.56,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,161,Silurian-Devonian aquifers,Niagara Dolomite,Confined single aquifer,,335,ft,340,ft,NWIS
