OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-ND,USGS North Dakota Water Science Center,USGS-473633101161400,"LAKE SAKAKAWEA NEAR LAKE AUDUBON, ND","Lake, Reservoir, Impoundment",,10110101,,,,,47.6091659,-101.2709902,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,38,055,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,USGS-364446108321510,San Juan RIVER ABOVE HOGBACK DIVERSION CHANNEL,Stream,,14080105,,,,,36.7462167,-108.537725,24000,1,seconds,Interpolated from Digital MAP.,NAD83,5008,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,35,045,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-04206000,Cuyahoga River at Old Portage OH,Stream,,04110002,404,sq mi,404,sq mi,41.1356112,-81.5470622,,1,seconds,Interpolated from MAP.,NAD83,739.35,feet,.11,feet,Differentially corrected Global Positioning System.,NAVD88,US,39,153,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-04206200,Cuyahoga River at Botzum OH,Stream,,04110002,443,sq mi,,,41.1622777,-81.574286,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,153,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-04206425,Cuyahoga River at Jaite OH,Stream,,04110002,555,sq mi,,,41.288944,-81.5651193,,1,seconds,Interpolated from MAP.,NAD83,629.85,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,39,153,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-395520082281500,Buckeye Lake at State Park Fairfield Beach OH,"Lake, Reservoir, Impoundment",,05040006,,,,,39.9222865,-82.4707114,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,045,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-395557082283800,Buckeye Lake at State Park Crystal Beach OH,"Lake, Reservoir, Impoundment",,05040006,,,,,39.9325,-82.4772222,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,089,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-401910081111200,"Unnamed ditch tributary to Tappan Lake, OH",Stream: Ditch,,05040001,,,,,40.3194444,-81.1866667,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,39,067,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-401926081105100,Tappan Lake at Main Swimmers Beach OH,"Lake, Reservoir, Impoundment",,05040001,,,,,40.3238889,-81.1808333,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,067,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-403219081155500,Atwood Lake at Main Swimmers Beach OH,"Lake, Reservoir, Impoundment",,05040001,,,,,40.5386111,-81.2652778,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,019,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01440650,"Brodhead Creek near East Stroudsburg, PA",Stream,,02040104,121,sq mi,,,41.0362044,-75.2090697,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,42,089,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01452040,"Jordan Creek at mouth at Allentown, PA",Stream,,02040106,82.3,sq mi,,,40.6018,-75.4620889,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,235,feet,5,feet,Interpolated from topographic map.,NGVD29,US,42,077,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01474000,"Wissahickon Creek at Mouth, Philadelphia, PA",Stream,,02040203,64,sq mi,,,40.01539,-75.2068459,24000,1,seconds,Interpolated from MAP.,NAD83,26.41,feet,.10,feet,Level or other surveyed method.,NGVD29,US,42,101,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01474010,"Schuylkill R at Falls Bridge, Philadelphia, PA",Stream,,02040203,1893,sq mi,,,40.0084457,-75.1974013,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,42,101,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01480930,"Taylor Run at Copesville, PA",Stream,,02040205,5.53,sq mi,,,39.9553862,-75.6482692,24000,1,seconds,Interpolated from MAP.,NAD83,195,feet,1,feet,Interpolated from topographic map.,NGVD29,US,42,029,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01516750,"Corey Creek at Mansfield, PA",Stream,,02050104,22,sq mi,,,41.811185,-77.0705233,24000,1,seconds,Interpolated from MAP.,NAD83,1150,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,117,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-015400021,"Fishing Creek nr Bloomsburg, PA",Stream,,02050107,378,sq mi,,,40.9936111,-76.4758333,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,470,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,037,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01540500,"Susquehanna River at Danville, PA",Stream,,02050107,11220,sq mi,,,40.9581422,-76.6191222,24000,1,seconds,Interpolated from MAP.,NAD83,431.29,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,093,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01553500,"West Branch Susquehanna River at Lewisburg, PA",Stream,,02050206,6847,sq mi,6847,sq mi,40.967585,-76.8763543,24000,1,seconds,Interpolated from MAP.,NAD83,428.20,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,097,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01553990,"Susquehanna River above Dam at Sunbury, PA",Stream,,02050301,18300,sq mi,,,40.8528628,-76.8024666,24000,1,seconds,Interpolated from MAP.,NAD83,419.66,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,097,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01555210,"Middle Creek near Selinsgrove, PA",Stream,,02050301,174,sq mi,,,40.7748069,-76.8694171,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,410,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,109,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01562000,"Raystown Branch Juniata River at Saxton, PA",Stream,,02050303,756,sq mi,,,40.2159125,-78.2652901,,1,seconds,Interpolated from MAP.,NAD83,795.77,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,009,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01566005,"East Licking Creek ab Reservoir nr Lewistown, PA",Stream,,02050304,21.9,sq mi,,,40.5467423,-77.5274916,24000,1,seconds,Interpolated from MAP.,NAD83,640,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,067,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01567000,"Juniata River at Newport, PA",Stream,,02050304,3354,sq mi,,,40.4784168,-77.1291484,24000,1,seconds,Interpolated from MAP.,NAD83,363.93,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,099,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01570000,"Conodoguinet Creek near Hogestown, PA",Stream,,02050305,470,sq mi,,,40.2522222,-77.0211111,24000,1,seconds,Interpolated from MAP.,NAD83,351.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,041,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01571505,"Yellow Breeches Creek at New Cumberland, PA",Stream,,02050305,218,sq mi,,,40.224257,-76.8602506,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,290,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,133,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01573560,"Swatara Creek near Hershey, PA",Stream,,02050305,483,sq mi,,,40.2984236,-76.6677469,24000,1,seconds,Interpolated from MAP.,NAD83,325.94,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,043,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-01618800,"East Branch Antietam Creek near South Mountain, PA",Stream,,02070004,13.4,sq mi,,,39.7884268,-77.4874894,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,42,055,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03015554,"George Run near Tidioute, PA",Stream,,05010003,4.15,sq mi,,,41.7142266,-79.4553268,24000,1,seconds,Interpolated from MAP.,NAD83,1270,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,123,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03031690,"Pitchpine Run at Reynoldsville, PA",Stream,,05010006,1.82,sq mi,,,41.0978404,-78.8872547,24000,1,seconds,Interpolated from MAP.,NAD83,1390,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,065,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03036500,"Allegheny River at Kittanning, PA",Stream,,05010006,8973,sq mi,,,40.820342,-79.531434,,1,seconds,Interpolated from MAP.,NAD83,773.40,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,005,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049652,"Allegheny River at Hulton Bridge at Oakmont, PA",Stream,,05010009,11577,sq mi,,,40.5275679,-79.8472722,24000,1,seconds,Interpolated from MAP.,NAD83,730,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03071700,"Cheat River at Point Marion, PA",Stream,,05020004,1422,sq mi,,,39.7420226,-79.8995017,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,42,051,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03075001,"Monongahela River at North Charleroi, PA",Stream,,05020005,5230,sq mi,,,40.0686845,-79.9042146,24000,1,seconds,Interpolated from MAP.,NAD83,730,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,125,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03082500,"Youghiogheny River at Connellsville, PA",Stream,,05020006,1326,sq mi,,,40.0175278,-79.5932222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,860.13,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,051,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03086000,"Ohio River at Sewickley, PA",Stream,,05030101,19500,sq mi,,,40.5492342,-80.2056148,,1,seconds,Interpolated from MAP.,NAD83,680,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03103500,"Shenango River at Sharpsville, PA",Stream,,05030102,584,sq mi,,,41.2661668,-80.4725697,,1,seconds,Interpolated from MAP.,NAD83,861.57,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,085,,,,,,,,,NWIS
